MES,CONGLOME,VIVIENDA,DOMINIO,UBIGEO,ESTRATO,PERIODO,TIPENC,FECENT,RESULT,PANEL,P22,P23,P24A,P24B,P25$1,P25$2,P25$3,P25$4,P25$5,P101,P102,P103,P103A,P104,P104A,P104B1,P104B2,P105A,P105B,P106,P106A,P106B,P107B2,P107C21,P107C22,P107C23,P107C24,P107C26,P107C27,P107C28,P107C29,P107C210,P107D2,P107B3,P107C31,P107C32,P107C33,P107C34,P107C36,P107C37,P107C38,P107C39,P107C310,P107D3,P107B4,P107C41,P107C42,P107C43,P107C44,P107C46,P107C47,P107C48,P107C49,P107C410,P107D4,P107E,P110,P110A1,P110A,P110A_MODIFICADA,P110C,P110C1,P110C2,P110C3,P110D,P110E,P110F,P110G,P111A,P1121,P1124,P1126,P1127,P112A,P1131,P1132,P1135,P1136,P1137,P1138,P113A,P1141,P1142,P1143,P1144,P1145,P114B1,P114B2,P114B3,P1171$01,P1171$02,P1171$04,P1171$06,P1171$07,P1171$08,P1171$11,P1171$12,P1171$13,P1171$14,P1171$15,P1171$17,P1172$01,P1172$02,P1172$04,P1172$06,P1172$07,P1172$08,P1172$11,P1172$12,P1172$13,P1172$14,P1172$15,P1172$17,P1173$01,P1173$02,P1173$04,P1173$06,P1173$07,P1173$08,P1173$11,P1173$12,P1173$13,P1173$14,P1173$15,P1173$17,P1174$04,P1174$06,P1174$07,P1174$08,P1174$15,P1175$01,P1175$02,P1175$08,P1175$13,P1175$14,P1175$15,P117T2,P117T3,P117T4,T110,P200I,P600I,P600D1,P600M1,P600D2,P600M2,P612I2,P612I22,P700I,P710I,P800I,P110I,D105B,D106,D107D2,D107D3,D107D4,D1172$01,D1173$01,D1172$02,D1173$02,D1172$04,D1173$04,D1174$04,D1172$06,D1173$06,D1174$06,D1172$07,D1173$07,D1174$07,D1172$08,D1173$08,D1174$08,D1172$15,D1173$15,D1174$15,D1172$11,D1173$11,D1172$12,D1173$12,D1172$13,D1173$13,D1172$14,D1173$14,D1172$17,D1173$17,D612I22,I105B,I106,I1172$01,I1172$02,I1172$04,I1172$06,I1172$07,I1172$08,I1172$11,I1172$12,I1172$13,I1172$14,I1172$17,I1172$15,I1173$01,I1173$02,I1173$04,I1174$04,I1173$06,I1174$06,I1173$07,I1174$07,I1173$08,I1174$08,I1173$11,I1173$12,I1173$13,I1173$14,I1173$15,I1174$15,I1173$17,T111A,NBI1,NBI2,NBI3,NBI4,NBI5,FACTOR07,NCONGLOME,SUB_CONGLOME,CODCCPP,NOMCCPP,LONGITUD,LATITUD,ALTITUD,DOMINIO_NOMBRE
9,15006,13,4,010101,4,2,1,20240904,1, ,2, ,3,3,0,1,0,1,0,1,3,5,4,6,3,2,2,2, ,120,2, ,2, , , , , , , , , , ,2, , , , , , , , , , ,2, , , , , , , , , , , ,1,1,2,0.400000005960464,2, ,2,1,2,3,1,1,1,1,0,0,0,1,0,1,0,1,0,0,2,0,1,0,1,0,0,0,1,1,1,1,0,0,1,0,1,0,1,0,0,15,19,52, , ,0, ,10, ,0, , ,0,0,0, , ,0, ,0, ,0, , ,0, , ,0, ,0,0,2,0,4,0,96,0,0,1,2,2,19,8,2,9,2, ,2,2,2,2, ,1431, , , ,179,0,227,0,620,0,0, , , , , , ,0,0,0, , , , , ,120,0, , ,0,0, , , , ,1431,179,227,620, , ,0, ,120, ,0, , ,0,0,0,0, , , , ,0,0, ,0, ,0, , , ,1,0,0,0,0,0,112.07495880127,7071,1,1,ASENTAMIENTO HUMANO PEDRO CASTRO ALVA,-77.865565918,-6.213713697,2420.43267584,SIERRA NORTE
9,15006,76,4,010101,4,2,1,20240904,1, ,2, ,3,3,0,1,0,1,0,1,1,5,1,1,0,2,2,1,210, , , ,2, , , , , , , , , , ,2, , , , , , , , , , ,2, , , , , , , , , , , ,1,1,1,1.39999997615814,2, ,2,1,2,3,1,1,1,1,0,0,0,1,0,1,0,1,0,0,2,0,1,1,1,0,0,0,1,1,1,1,0,0,1,0,1,1,1,0,0,40,40,47, , ,25, ,8,25,0, , ,0,0,0, , ,0, ,0,0,0, , ,0, , ,0, ,0,0,0,0,4,0,185,0,0,1,1,1,20,8,3,9,2, ,1,1,1,1,2504, , , , ,477,0,477,0,560,0,0, , , , , , ,298,0,0, , , , , ,96,0,301,0,0,0, , , ,2504, ,477,477,560, , ,298, ,96,301,0, , ,0,0,0,0, , , , ,0,0, ,0,0,0, , , ,1,0,0,0,0,0,112.07495880127,7071,1,1,ASENTAMIENTO HUMANO PEDRO CASTRO ALVA,-77.865565918,-6.213713697,2420.43267584,SIERRA NORTE
6,15014,39,4,010101,4,3,3,20240615,1,1,2, ,2,3,0,1,0,1,0,1,1,5,1,1,1,2,2,2, ,140,2, ,2, , , , , , , , , , ,2, , , , , , , , , , ,2, , , , , , , , , , , ,1,1,1,0.800000011920929,2, ,6,24,2,1,1,1,1,1,0,0,0,2,0,0,0,0,0,1, ,0,1,0,1,0,0,1,0,1,1,0,0,0,0,0,1,0,1,0,0,9,0, , , , , ,36, ,0, , ,0,5, , , , , ,0, ,0, , , , , , , ,0,0,0,0,4,0,45,5,0,1,1,1,30,5,13,6,2, ,1,1,1,1, ,1682, , , ,108,0,0,60, , , , , , , , , , , , , , , , , ,434,0, , ,0,0, , , , ,1682,108,0, , , , , ,434, ,0, , ,0,60, , , , , , , , , ,0, ,0, , , ,1,0,0,0,0,0,69.4570999145508,7072,1,1,ASENTAMIENTO HUMANO PEDRO CASTRO ALVA,-77.867071289,-6.217640367,2383.11025426,SIERRA NORTE
6,15014,68,4,010101,4,3,3,20240618,1,1,2, ,1,3,0,1,0,1,0,1,1,5,1,3,3,2,2,6, ,295, , ,2, , , , , , , , , , ,2, , , , , , , , , , ,2, , , , , , , , , , , ,1,1,1,1.60000002384186,2, ,2,2,1,1,1,1,1,1,0,0,0,2,0,1,0,1,0,0,2,0,1,0,1,0,1,0,1,1,1,1,0,0,1,0,1,0,1,0,0,13,16,72, , ,0, ,13, ,59, , ,0,0,0, , ,0, ,0, ,0, , ,0, , ,0, ,0,0,2,0,0,0,173,0,0,1,2,2,28,5,11,6,2, ,2,2,2,2, ,3545, , , ,156,0,192,0,865,0,0, , , , , , ,0,0,0, , , , , ,157,0, , ,712,0, , , , ,3545,156,192,865, , ,0, ,157, ,712, , ,0,0,0,0, , , , ,0,0, ,0, ,0, , , ,1,0,0,0,0,0,69.4570999145508,7072,1,1,ASENTAMIENTO HUMANO PEDRO CASTRO ALVA,-77.867071289,-6.217640367,2383.11025426,SIERRA NORTE
6,15014,82,4,010101,4,3,3,20240620,1,2,2, ,3,3,0,1,0,1,0,1,1,5,4,1,1,2,2,6, ,205, , ,2, , , , , , , , , , ,2, , , , , , , , , , ,2, , , , , , , , , , , ,1,1,3,0.0,2, ,3,4,1,3,1,1,1,1,0,0,0,2,0,1,0,0,0,0,2,0,1,0,1,0,0,1,0,1,1,1,0,0,0,0,1,0,1,0,0,45,72,57, , , , ,36, ,0, , ,0,0,0, , , , ,0, ,0, , ,0, , , , ,0,0,0,0,4,0,210,0,0,1,1,1,27,5,10,6,2, ,1,1,1,1, ,2463, , , ,541,0,865,0,685,0,0, , , , , , , , , , , , , , ,434,0, , ,0,0, , , , ,2463,541,865,685, , , , ,434, ,0, , ,0,0,0,0, , , , , , , ,0, ,0, , , ,1,0,1,0,0,0,69.4570999145508,7072,1,1,ASENTAMIENTO HUMANO PEDRO CASTRO ALVA,-77.867071289,-6.217640367,2383.11025426,SIERRA NORTE
6,15014,96,4,010101,4,3,3,20240619,1,1,2, ,1,1,0,1,0,1,0,1,3,5,4,6,2,2,2,2, ,70,2, ,2, , , , , , , , , , ,2, , , , , , , , , , ,2, , , , , , , , , , , ,1,1,1,0.800000011920929,1,8, , ,2,1,1,1,1,1,0,0,0,1,0,0,0,1,0,0,6,0,1,0,1,0,0,0,1,1,1,0,0,0,1,0,1,0,1,0,0,6,18, , , ,0, ,14, ,0, , ,0,0, , , ,38, ,0, ,0, , , , , ,0, ,0,0,0,0,4,0,38,38,0,1,1,1,27,5,10,6,2, ,1,1,1,1, ,841, , , ,72,0,216,0, , , , , , , , , ,0,457,0, , , , , ,169,0, , ,0,0, , , , ,841,72,216, , , ,0, ,169, ,0, , ,0,0, , , , , , ,457,0, ,0, ,0, , , ,1,0,0,0,0,0,69.4570999145508,7072,1,1,ASENTAMIENTO HUMANO PEDRO CASTRO ALVA,-77.867071289,-6.217640367,2383.11025426,SIERRA NORTE
1,15024,39,4,010101,4,1,1,20240117,1, ,2, ,1,3,0,1,0,1,0,1,3,5,4,3,2,2,2,2, ,70,2, ,2, , , , , , , , , , ,2, , , , , , , , , , ,2, , , , , , , , , , , ,1,1,2,0.200000002980232,2, ,3,4,1,3,1,1,1,1,0,0,0,2,0,1,0,1,1,0,2,0,1,0,1,0,0,1,0,1,1,1,0,0,1,0,1,0,1,1,0,6,5,71, , ,0, ,38, ,0,0, ,0,0,0, , ,0, ,0, ,0,0, ,0, , ,0,0,0,0,2,0,4,2,120,0,0,1,1,1,2,1,16,1,2, ,1,1,1,1, ,855, , , ,73,0,61,0,867,0,0, , , , , , ,0,0,0,0,0,0, , ,442,0, , ,0,0, , , , ,855,73,61,867, , ,0, ,442, ,0, ,0,0,0,0,0, , , , ,0,0, ,0, ,0,0,0, ,1,0,0,0,0,0,263.821685791016,7073,1,1,ASENTAMIENTO HUMANO PEDRO CASTRO ALVA,-77.866251653,-6.219789096,2365.03256481,SIERRA NORTE
4,15001,24,4,010101,4,1,1,20240408,1, ,2, ,1,1,0,0,0,1,0,1,3,5,4,3,2,2,2,2, ,150,3, ,2, , , , , , , , , , ,2, , , , , , , , , , ,2, , , , , , , , , , , ,1,1,3,0.0,2, ,1,10,1,3,1,1,1,1,0,0,0,1,0,1,0,1,0,0,2,0,1,0,1,0,0,0,1,1,1,1,0,0,1,0,1,0,1,0,0,10,39,23, , ,0, ,10, ,0, , ,0,0,0, , ,0, ,0, ,0, , ,0, , ,0, ,0,0,2,0,4,0,82,0,0,1,1,1,19,3,2,4,2, ,1,1,1,1, ,1827, , , ,122,0,475,0,280,0,0, , , , , , ,0,0,0, , , , , ,119,0, , ,0,0, , , , ,1827,122,475,280, , ,0, ,119, ,0, , ,0,0,0,0, , , , ,0,0, ,0, ,0, , , ,1,0,0,0,0,0,225.326202392578,7060,0,1,ASENTAMIENTO HUMANO SANTO TORIBIO DE MOG,-77.877449219,-6.228393792,2392.85282235,SIERRA NORTE
4,15001,85,4,010101,4,1,1,20240406,1, ,2, ,3,3,0,1,0,1,0,1,1,5,1,7,4,2,1,2, ,2820,3, ,2, , , , , , , , , , ,2, , , , , , , , , , ,2, , , , , , , , , , , ,1,2,3,0.0,2, ,3,24,1,5,1,1,1,1,0,0,0,1,1,1,0,1,0,0,2,0,1,1,1,0,1,1,0,1,1,1,0,0,1,0,1,1,1,0,0,23,67,43, , ,0, ,82,48,73, , ,0,0,0, , ,0, ,0,0,0, , ,0, , ,0, ,0,0,2,0,0,0,336,0,0,1,1,1,21,3,4,4,2, ,2,2,2,1, ,34345, , , ,280,0,816,0,524,0,0, , , , , , ,0,0,0, , , , , ,978,0,573,0,871,0, , , , ,34345,280,816,524, , ,0, ,978,573,871, , ,0,0,0,0, , , , ,0,0, ,0,0,0, , , ,1,0,0,0,0,0,225.326202392578,7060,0,1,ASENTAMIENTO HUMANO SANTO TORIBIO DE MOG,-77.877449219,-6.228393792,2392.85282235,SIERRA NORTE
12,20759,30,4,010101,4,2,1,20241209,1, ,2, ,3,1,1,0,0,1,0,1,3,5,4,3,3,2,2,2, ,260,2, ,2, , , , , , , , , , ,1,0,0,3,0,0,0,0,0,0,15000,2, , , , , , , , , , ,2,6, ,3,0.0, , , , ,1,5, , ,4,1,0,0,0,2,0,1,0,1,0,0,2,0,1,0,1,0,1,1,1,1,1,1,0,0,1,0,1,0,1,0,0,0,14,92, , ,0, ,128, ,31, , ,0,0,0, , ,42, ,0, ,0, , ,0, , ,0, ,2,0,0,0,0,0,265,42,0,6,2,2,22,11,6,12,1,2000,1,1,1,2, ,3070, ,15053, ,0,0,165,0,1086,0,0, , , , , , ,0,496,0, , , , , ,1547,0, , ,375,0, , ,2001, ,3070,0,165,1086, , ,0, ,1547, ,375, , ,0,0,0,0, , , , ,496,0, ,0, ,0, , , ,4,0,0,0,0,0,209.651229858398,45080,0,1,BARRIO SANTA ROSA,-77.860493419,-6.208849506,2469.83397405,SIERRA NORTE
