ANO_EJE,GRUPO_ENTIDAD_NOMBRE,SEC_EJEC,EJECUTORA_NOMBRE,DEPARTAMENTO_EJECUTORA_NOMBRE,PROVINCIA_EJECUTORA_NOMBRE,DISTRITO_EJECUTORA_NOMBRE,SEC_FUNC,PROGRAMA_PPTO_NOMBRE,TIPO_ACT_PROY_NOMBRE,PRODUCTO_PROYECTO_NOMBRE,ACTIVIDAD_ACCION_OBRA_NOMBRE,FUNCION_NOMBRE,DIVISION_FUNCIONAL_NOMBRE,GRUPO_FUNCIONAL_NOMBRE,FINALIDAD,META_NOMBRE,FUENTE_FINANCIAMIENTO_NOMBRE,RUBRO_NOMBRE,CATEGORIA_GASTO_NOMBRE,TIPO_TRANSACCION,GENERICA_NOMBRE,SUBGENERICA_NOMBRE,SUBGENERICA_DET_NOMBRE,ESPECIFICA_NOMBRE,ESPECIFICA_DET_NOMBRE,MONTO_PIA,MONTO_PIM,EJEC_ANUAL,PCT_EJECUCION
2024,EMPRESAS MUNICIPALES DE AGUA POTABLE Y ALCANTARILLADO,500160,EMPRESA PRESTADORA MUNICIPAL DE SERVICIO DE AGUA POTABLE Y ALCANTARILLADO DE AMAZONAS SOCIEDAD ANÓNIMA,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,3,ASIGNACIONES PRESUPUESTARIAS QUE NO RESULTAN EN PRODUCTOS,ACTIVIDAD,SIN PRODUCTO,SERVICIO DE AGUA POTABLE,SANEAMIENTO,SANEAMIENTO,SANEAMIENTO URBANO,2,ABASTECIMIENTO DE AGUA POTABLE,RECURSOS DIRECTAMENTE RECAUDADOS,RECURSOS DIRECTAMENTE RECAUDADOS,GASTO CORRIENTE,2,BIENES Y SERVICIOS,CONTRATACION DE SERVICIOS,ALQUILERES DE MUEBLES E INMUEBLES,ALQUILERES DE MUEBLES E INMUEBLES,DE OTROS BIENES Y ACTIVOS,2700,2700,2158842.76,79957.14
2024,EMPRESAS MUNICIPALES DE AGUA POTABLE Y ALCANTARILLADO,500160,EMPRESA PRESTADORA MUNICIPAL DE SERVICIO DE AGUA POTABLE Y ALCANTARILLADO DE AMAZONAS SOCIEDAD ANÓNIMA,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,3,ASIGNACIONES PRESUPUESTARIAS QUE NO RESULTAN EN PRODUCTOS,ACTIVIDAD,SIN PRODUCTO,SERVICIO DE AGUA POTABLE,SANEAMIENTO,SANEAMIENTO,SANEAMIENTO URBANO,2,ABASTECIMIENTO DE AGUA POTABLE,RECURSOS DIRECTAMENTE RECAUDADOS,RECURSOS DIRECTAMENTE RECAUDADOS,GASTO DE CAPITAL,2,ADQUISICION DE ACTIVOS NO FINANCIEROS,"ADQUISICION DE VEHICULOS, MAQUINARIAS Y OTROS","ADQUISICION DE MAQUINARIAS, EQUIPO Y MOBILIARIO",ADQUISICION DE MAQUINARIA Y EQUIPO DIVERSOS,EQUIPOS E INSTRUMENTOS DE MEDICION,0,115981,2158842.76,1861.38
2024,EMPRESAS MUNICIPALES DE AGUA POTABLE Y ALCANTARILLADO,500160,EMPRESA PRESTADORA MUNICIPAL DE SERVICIO DE AGUA POTABLE Y ALCANTARILLADO DE AMAZONAS SOCIEDAD ANÓNIMA,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,1,ACCIONES CENTRALES,ACTIVIDAD,SIN PRODUCTO,GESTION ADMINISTRATIVA,SANEAMIENTO,GESTION,ASESORAMIENTO Y APOYO,89,ADMINISTRACION Y SUPERVISION,RECURSOS DIRECTAMENTE RECAUDADOS,RECURSOS DIRECTAMENTE RECAUDADOS,GASTO CORRIENTE,2,BIENES Y SERVICIOS,CONTRATACION DE SERVICIOS,"SERVICIOS BASICOS, COMUNICACIONES, PUBLICIDAD Y DIFUSION","SERVICIO DE PUBLICIDAD, IMPRESIONES, DIFUSION E IMAGEN INSTITUCIONAL",SERVICIO DE PUBLICIDAD,5400,5400,1771500.15,32805.56
2024,EMPRESAS MUNICIPALES DE AGUA POTABLE Y ALCANTARILLADO,500160,EMPRESA PRESTADORA MUNICIPAL DE SERVICIO DE AGUA POTABLE Y ALCANTARILLADO DE AMAZONAS SOCIEDAD ANÓNIMA,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,1,ACCIONES CENTRALES,ACTIVIDAD,SIN PRODUCTO,GESTION ADMINISTRATIVA,SANEAMIENTO,GESTION,ASESORAMIENTO Y APOYO,89,ADMINISTRACION Y SUPERVISION,RECURSOS DIRECTAMENTE RECAUDADOS,RECURSOS DIRECTAMENTE RECAUDADOS,GASTO CORRIENTE,2,PERSONAL Y OBLIGACIONES SOCIALES,RETRIBUCIONES Y COMPLEMENTOS EN EFECTIVO,GASTOS VARIABLES Y OCASIONALES,OTROS GASTOS VARIABLES Y OCASIONALES,OTRAS OCASIONALES,14000,14000,1771500.15,12653.57
2024,EMPRESAS MUNICIPALES DE AGUA POTABLE Y ALCANTARILLADO,500160,EMPRESA PRESTADORA MUNICIPAL DE SERVICIO DE AGUA POTABLE Y ALCANTARILLADO DE AMAZONAS SOCIEDAD ANÓNIMA,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,3,ASIGNACIONES PRESUPUESTARIAS QUE NO RESULTAN EN PRODUCTOS,ACTIVIDAD,SIN PRODUCTO,SERVICIO DE AGUA POTABLE,SANEAMIENTO,SANEAMIENTO,SANEAMIENTO URBANO,2,ABASTECIMIENTO DE AGUA POTABLE,RECURSOS DIRECTAMENTE RECAUDADOS,RECURSOS DIRECTAMENTE RECAUDADOS,GASTO CORRIENTE,2,BIENES Y SERVICIOS,COMPRA DE BIENES,MATERIALES Y  UTILES,"ELECTRICIDAD, ILUMINACION Y ELECTRONICA","ELECTRICIDAD, ILUMINACION Y ELECTRONICA",2840,2840,2158842.76,76015.59
2024,EMPRESAS MUNICIPALES DE AGUA POTABLE Y ALCANTARILLADO,500160,EMPRESA PRESTADORA MUNICIPAL DE SERVICIO DE AGUA POTABLE Y ALCANTARILLADO DE AMAZONAS SOCIEDAD ANÓNIMA,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,1,ACCIONES CENTRALES,ACTIVIDAD,SIN PRODUCTO,GESTION ADMINISTRATIVA,SANEAMIENTO,GESTION,ASESORAMIENTO Y APOYO,89,ADMINISTRACION Y SUPERVISION,RECURSOS DIRECTAMENTE RECAUDADOS,RECURSOS DIRECTAMENTE RECAUDADOS,GASTO CORRIENTE,2,BIENES Y SERVICIOS,CONTRATACION DE SERVICIOS,"SERVICIOS DE LIMPIEZA, SEGURIDAD Y VIGILANCIA","SERVICIOS DE LIMPIEZA, SEGURIDAD Y VIGILANCIA",SERVICIOS DE LIMPIEZA E HIGIENE,10800,10800,1771500.15,16402.78
2024,EMPRESAS MUNICIPALES DE AGUA POTABLE Y ALCANTARILLADO,500160,EMPRESA PRESTADORA MUNICIPAL DE SERVICIO DE AGUA POTABLE Y ALCANTARILLADO DE AMAZONAS SOCIEDAD ANÓNIMA,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,1,ACCIONES CENTRALES,ACTIVIDAD,SIN PRODUCTO,GESTION ADMINISTRATIVA,SANEAMIENTO,GESTION,ASESORAMIENTO Y APOYO,89,ADMINISTRACION Y SUPERVISION,RECURSOS DIRECTAMENTE RECAUDADOS,RECURSOS DIRECTAMENTE RECAUDADOS,GASTO CORRIENTE,2,PERSONAL Y OBLIGACIONES SOCIALES,RETRIBUCIONES Y COMPLEMENTOS EN EFECTIVO,GASTOS VARIABLES Y OCASIONALES,"ESCOLARIDAD, AGUINALDOS Y GRATIFICACIONES",BONIFICACION POR ESCOLARIDAD,41608,41608,1771500.15,4257.6
2024,EMPRESAS MUNICIPALES DE AGUA POTABLE Y ALCANTARILLADO,500160,EMPRESA PRESTADORA MUNICIPAL DE SERVICIO DE AGUA POTABLE Y ALCANTARILLADO DE AMAZONAS SOCIEDAD ANÓNIMA,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,2,ASIGNACIONES PRESUPUESTARIAS QUE NO RESULTAN EN PRODUCTOS,ACTIVIDAD,SIN PRODUCTO,COMERCIALIZACION Y SERVICIOS COLATERALES,SANEAMIENTO,SANEAMIENTO,SANEAMIENTO URBANO,23550,COMERCIALIZACION DE SERVICIOS DE SANEAMIENTO,RECURSOS DIRECTAMENTE RECAUDADOS,RECURSOS DIRECTAMENTE RECAUDADOS,GASTO CORRIENTE,2,BIENES Y SERVICIOS,COMPRA DE BIENES,"COMBUSTIBLES, CARBURANTES, LUBRICANTES Y AFINES","COMBUSTIBLES, CARBURANTES, LUBRICANTES Y AFINES","LUBRICANTES, GRASAS Y AFINES",720,720,968944.65,134575.65
2024,EMPRESAS MUNICIPALES DE AGUA POTABLE Y ALCANTARILLADO,500160,EMPRESA PRESTADORA MUNICIPAL DE SERVICIO DE AGUA POTABLE Y ALCANTARILLADO DE AMAZONAS SOCIEDAD ANÓNIMA,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,2,ASIGNACIONES PRESUPUESTARIAS QUE NO RESULTAN EN PRODUCTOS,ACTIVIDAD,SIN PRODUCTO,COMERCIALIZACION Y SERVICIOS COLATERALES,SANEAMIENTO,SANEAMIENTO,SANEAMIENTO URBANO,23550,COMERCIALIZACION DE SERVICIOS DE SANEAMIENTO,RECURSOS DIRECTAMENTE RECAUDADOS,RECURSOS DIRECTAMENTE RECAUDADOS,GASTO CORRIENTE,2,PERSONAL Y OBLIGACIONES SOCIALES,RETRIBUCIONES Y COMPLEMENTOS EN EFECTIVO,PERSONAL ADMINISTRATIVO,PERSONAL ADMINISTRATIVO,PERSONAL CON CONTRATO A PLAZO INDETERMINADO (REGIMEN LABORAL PRIVADO),126223,126223,968944.65,767.65
2024,EMPRESAS MUNICIPALES DE AGUA POTABLE Y ALCANTARILLADO,500160,EMPRESA PRESTADORA MUNICIPAL DE SERVICIO DE AGUA POTABLE Y ALCANTARILLADO DE AMAZONAS SOCIEDAD ANÓNIMA,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,3,ASIGNACIONES PRESUPUESTARIAS QUE NO RESULTAN EN PRODUCTOS,ACTIVIDAD,SIN PRODUCTO,SERVICIO DE AGUA POTABLE,SANEAMIENTO,SANEAMIENTO,SANEAMIENTO URBANO,2,ABASTECIMIENTO DE AGUA POTABLE,RECURSOS DIRECTAMENTE RECAUDADOS,RECURSOS DIRECTAMENTE RECAUDADOS,GASTO CORRIENTE,2,PERSONAL Y OBLIGACIONES SOCIALES,RETRIBUCIONES Y COMPLEMENTOS EN EFECTIVO,PERSONAL ADMINISTRATIVO,PERSONAL ADMINISTRATIVO,PERSONAL CON CONTRATO A PLAZO INDETERMINADO (REGIMEN LABORAL PRIVADO),158289,158289,2158842.76,1363.86
